name,nces_lea_id,enrollment_total,school_count,cumulative_pct
BISMARCK 1,3800014,14086,29,11.8
WEST FARGO 6,3819410,13175,26,22.8
FARGO 1,3806780,11443,26,32.3
GRAND FORKS 1,3808130,7811,18,38.9
MINOT 1,3813030,7668,21,45.3
WILLISTON BASIN 7,3800405,5413,11,49.8
MANDAN 1,3811820,4451,12,53.5
DICKINSON 1,3800038,4177,12,57.0
MCKENZIE CO 1,3812540,2349,7,59.0
JAMESTOWN 1,3800021,2032,7,60.7
DEVILS LAKE 1,3805040,1786,5,62.2
BELCOURT 7,3802530,1518,4,63.4
WAHPETON 37,3819020,1221,4,64.5
CENTRAL CASS 17,3804090,1026,3,65.3
GRAFTON 18,3800406,953,3,66.1
VALLEY CITY 2,3818850,943,4,66.9
NEW TOWN 1,3813920,931,3,67.7
KINDRED 2,3800025,874,3,68.4
STANLEY 2,3817570,783,2,69.1
BEULAH 27,3800032,748,3,69.7
NORTHERN CASS 97,3800044,724,3,70.3
UNITED 7,3818730,709,2,70.9
THOMPSON 61,3818280,679,2,71.5
BOTTINEAU 1,3803060,671,2,72.0
KILLDEER 16,3810270,607,2,72.5
CARRINGTON 49,3800053,601,2,73.0
LISBON 19,3811430,601,3,73.5
RUGBY 5,3816130,589,2,74.0
HAZEN 3,3800031,582,3,74.5
SOUTH PRAIRIE 70,3817170,566,2,75.0
NEDROSE 4,3813660,562,2,75.4
TIOGA 15,3800039,544,2,75.9
MAY-PORT CG 14,3800041,517,3,76.3
DUNSEITH 1,3805460,514,2,76.8
BOWMAN CO 1,3803200,508,4,77.2
HILLSBORO 9,3809570,494,3,77.6
OAKES 41,3814500,475,2,78.0
PARK RIVER AREA 8,3800401,470,2,78.4
ST JOHN 3,3817460,458,2,78.8
NESSON 2,3813710,443,2,79.1
LANGDON AREA 23,3810810,440,2,79.5
VELVA 1,3817040,439,2,79.9
SOUTH HEART 9,3817130,437,2,80.2
SURREY 41,3817910,436,2,80.6
LARIMORE 44,3810860,416,2,81.0
LEWIS AND CLARK 161,3800058,410,6,81.3
GARRISON 51,3807590,396,2,81.6
KIDDER COUNTY 1,3800389,387,2,82.0
CAVALIER 6,3800018,385,4,82.3
DIVIDE COUNTY 1,3805160,382,2,82.6
HARVEY 38,3808890,381,2,82.9
NEW SALEM-ALMONT 49,3800392,377,2,83.2
WASHBURN 4,3819290,376,2,83.5
TGU 60,3800047,353,6,83.8
NEW ROCKFORD-SHEYENNE 2,3800059,349,2,84.1
NORTHWOOD 129,3814340,337,2,84.4
RICHARDTON-TAYLOR 34,3800048,337,3,84.7
NORTH BORDER 100,3800054,332,4,85.0
EIGHT MILE 6,3806010,319,2,85.2
RICHLAND 44,3800036,310,2,85.5
ALEXANDER 2,3801760,309,2,85.8
ELLENDALE 40,3806090,305,5,86.0
MOHALL-LANSFORD-SHERWOOD 1,3800050,304,2,86.3
ENDERLIN AREA 24,3800061,302,3,86.5
MINTO 20,3813050,296,2,86.8
LAMOURE 8,3810740,295,3,87.0
HETTINGER 13,3809410,294,2,87.3
KENMARE 28,3810180,291,2,87.5
GRIGGS COUNTY CENTRAL 18,3804560,288,2,87.7
DAKOTA PRAIRIE 1,3800040,288,2,88.0
NORTH STAR 10,3800390,284,2,88.2
WILTON 1,3813200,283,2,88.5
PARSHALL 3,3814940,280,2,88.7
NEW ENGLAND 9,3800027,280,4,88.9
FLASHER 39,3806930,266,2,89.1
BEACH 3,3802380,266,4,89.4
CENTER-STANTON 1,3800052,265,2,89.6
EDGELEY 3,3805850,255,3,89.8
BELFIELD 13,3806210,253,2,90.0
MINNEWAUKAN 5,3812990,253,2,90.2
GLENBURN 26,3807850,249,2,90.4
MAPLE VALLEY 4,3812020,248,3,90.6
WISHEK 19,3820190,247,2,90.8
NAPOLEON 2,3813510,246,2,91.1
WYNDMERE 42,3820310,245,2,91.3
LINTON 36,3800017,245,2,91.5
MT PLEASANT 4,3813400,244,2,91.7
HANKINSON 8,3808710,244,2,91.9
MAPLETON 7,3812030,239,1,92.1
BARNES COUNTY NORTH 7,3800060,235,2,92.3
MOTT-REGENT 1,3800046,225,2,92.5
VALLEY-EDINBURG 118,3800397,221,3,92.6
POWERS LAKE 27,3800024,221,2,92.8
SOLEN 3,3816980,214,2,93.0
MILNOR 2,3812930,214,4,93.2
CENTRAL VALLEY 3,3804140,210,2,93.4
MEDINA 3,3812660,206,2,93.5
LAKOTA 66,3810600,205,2,93.7
MANDAREE 36,3811850,203,2,93.9
WARWICK 29,3819260,199,3,94.0
FESSENDEN-BOWDON 25,3800049,196,2,94.2
MIDWAY 128,3812920,195,2,94.4
NORTH SARGENT 3,3814290,195,2,94.5
MANVEL 125,3812000,192,1,94.7
UNDERWOOD 8,3818660,189,2,94.8
SARGENT CENTRAL 6,3816430,188,2,95.0
DRAYTON 19,3805340,182,2,95.2
TURTLE LAKE-MERCER 72,3818500,182,2,95.3
YELLOWSTONE 14,3820340,181,2,95.5
MIDKOTA 7,3800042,177,2,95.6
LIDGERWOOD 28,3811140,176,2,95.8
FT TOTTEN 30,3807170,175,2,95.9
WHITE SHIELD 85,3819680,174,2,96.0
ELGIN-NEW LEIPZIG 49,3800045,168,2,96.2
GRENORA 99,3808460,166,2,96.3
HOPE-PAGE 85,3800404,162,2,96.5
PINGREE-BUCHANAN 10,3815150,160,2,96.6
WESTHOPE 17,3819470,160,2,96.7
HATTON EIELSON 7,3809000,157,2,96.9
HEBRON 13,3809180,153,2,97.0
LITCHVILLE-MARION 46,3800057,149,2,97.1
HAZELTON-MOFFIT-BRADDOCK 6,3809130,144,2,97.2
MAX 50,3812350,135,2,97.3
SCRANTON 33,3800023,135,2,97.5
MADDOCK 9,3811700,134,2,97.6
GLEN ULLIN 48,3807830,134,2,97.7
ROLETTE 29,3816050,129,2,97.8
LEEDS 6,3810980,126,2,97.9
KULM 7,3810500,123,2,98.0
ASHLEY 9,3802170,121,2,98.1
MCCLUSKY-GOODRICH 29,3880783,114,2,98.2
STRASBURG 15,3800016,107,2,98.3
MONTPELIER 14,3813230,105,2,98.4
EMERADO 127,3806360,101,1,98.5
FINLEY-SHARON 19,3806910,101,2,98.5
BILLINGS CO 1,3802840,101,2,98.6
GACKLE-STREETER 56,3800043,100,2,98.7
FAIRMOUNT 18,3806690,99,2,98.8
BURKE CENTRAL 36,3803590,95,2,98.9
SAWYER 16,3816470,94,2,98.9
