url,url_type,label,reason,detail
http://www.bhs.bismarckschools.org,school,BISMARCK HIGH SCHOOL,http_522,
http://www.chs.bismarckschools.org,school,CENTURY HIGH SCHOOL,http_522,
http://www.bismarckschools.org/about-us/staff-directory,school,DOROTHY MOSES ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/about-us/administration,school,DOROTHY MOSES ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/moses,school,DOROTHY MOSES ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.bismarckschools.org/highlandacres,school,HIGHLAND ACRES ELEMENTARY SCHOOL,http_404,
http://www.horizon.bismarckschools.org,school,HORIZON MIDDLE SCHOOL,http_522,
http://www.myhre.bismarckschools.org,school,JEANNETTE MYHRE ELEMENTARY SCHOOL,http_522,
http://www.bismarckschools.org/about-us/staff-directory,school,PIONEER ELEMENTARY SCHOOL,fetch_error:ReadTimeout,
http://www.bismarckschools.org/library/library-staff,school,PIONEER ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/pioneer,school,PIONEER ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.murphy.bismarckschools.org,school,RITA MURPHY ELEMENTARY SCHOOL,http_522,
http://www.roosevelt.bismarckschools.org,school,ROOSEVELT ELEMENTARY SCHOOL,http_522,
http://www.simle.bismarckschools.org,school,SIMLE MIDDLE SCHOOL,http_522,
http://bismarckschools.sharepoint.com/sites/Will-Moore_SecureBPS,school,WILL-MOORE ELEMENTARY SCHOOL,http_403,
http://www.bismarckschools.org/about-schs/administration,school,SOUTH CENTRAL ALTERNATIVE HIGH SCHOOL,http_404,
http://www.bismarckschools.org/contact-us,school,SOUTH CENTRAL ALTERNATIVE HIGH SCHOOL,http_404,
http://www.prairierose.bismarckschools.org,school,PRAIRIE ROSE ELEMENTARY SCHOOL,http_522,
http://www.bismarckschools.org/about-us/staff-directory,school,LINCOLN ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/about-us/administration,school,LINCOLN ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/lincoln,school,LINCOLN ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.bismarckschools.org/Page/849,school,BISMARCK MIDDLE VIRTUAL ACADEMY,http_404,
http://www.bismarckschools.org/about-us/staff-directory,school,SILVER RANCH ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/about-us/administration,school,SILVER RANCH ELEMENTARY SCHOOL,http_404,
http://www.bismarckschools.org/silverranch,school,SILVER RANCH ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.naughtonschoolnd.com,school,NAUGHTON ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.linton.k12.nd.us,school,LINTON HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.cavalierschool.org,school,CAVALIER ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://cavalierschool.org,school,RED RIVER VALLEY HIGH VIRTUAL ACADEMY,no_staff_content_found,1 candidate page(s) checked
http://www.kindred.k12.nd.us/,school,KINDRED MIDDLE SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.new-england.k12.nd.us,school,NEW ENGLAND PUBLIC VIRTUAL ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.richland44.com,school,RICHLAND JUNIOR-SENIOR HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.dickinson.k12.nd.us,school,P S BERG ELEMENTARY SCHOOL,fetch_error:ConnectError,
http://www.dhs.dickinson.k12.nd.us/roughrider-virtual-academy/,school,ROUGHRIDER HIGH VIRTUAL ACADEMY,fetch_error:ConnectError,
http://sites.google.com/dpschools.org/k-5academy/home,school,ROUGHRIDER ELEMENTARY VIRTUAL ACADEMY,no_staff_content_found,1 candidate page(s) checked
http://www.tioga.k12.nd.us,school,TIOGA HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.mayportcg.com,school,MAY-PORT CG HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.midkotaschools.k12.nd.us/,school,MIDKOTA HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.northerncassschool.org,school,NORTHERN CASS HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://gcs.k12.nd.us,school,ELGIN-NEW LEIPZIG HIGH SCHOOL,fetch_error:ConnectError,
http://www.mott.k12.nd.us/,school,MOTT-REGENT HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.tgu.k12.nd.us/,school,TGU VIRTUAL HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.richardton-taylor.k12.nd.us,school,RICHARDTON-TAYLOR ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
